,loan_id,account_id,amount,duration,payments,status,loan_date
0,4962,25,30276,12,2523,,1997-12-08
1,4967,37,318480,60,5308,,1998-10-14
2,4968,38,110736,48,2307,,1998-04-19
3,4986,97,102876,12,8573,,1997-08-10
4,4988,103,265320,36,7370,,1997-12-06
5,4989,105,352704,48,7348,,1998-12-05
6,4990,110,162576,36,4516,,1997-09-08
7,5005,176,27456,12,2288,,1997-04-10
8,5015,226,109344,12,9112,,1998-07-12
9,5027,276,160920,36,4470,,1998-12-02
10,5034,303,112752,36,3132,,1998-05-30
11,5036,309,91248,48,1901,,1998-11-25
12,5039,314,66840,24,2785,,1997-05-03
13,5041,319,369000,60,6150,,1997-07-11
14,5042,330,331584,48,6908,,1998-07-12
15,5043,339,468060,60,7801,,1997-12-25
16,5046,349,42816,12,3568,,1998-09-09
17,5051,378,230400,60,3840,,1997-10-11
18,5061,440,84288,48,1756,,1998-03-13
19,5063,442,357840,48,7455,,1997-07-10
20,5072,472,196800,24,8200,,1997-04-28
21,5086,525,210384,48,4383,,1997-07-16
22,5103,666,12540,12,1045,,1997-11-28
23,5110,675,102240,60,1704,,1997-04-01
24,5117,718,76944,12,6412,,1997-08-20
25,5124,785,156096,36,4336,,1998-02-12
26,5134,825,53076,12,4423,,1997-02-02
27,5140,873,178500,60,2975,,1998-02-24
28,5147,938,22260,60,371,,1998-05-21
29,5154,993,108720,60,1812,,1998-07-01
30,5158,1004,188532,36,5237,,1998-04-11
31,5169,1068,253200,60,4220,,1998-09-24
32,5172,1083,50976,36,1416,,1998-04-16
33,5174,1093,385104,48,8023,,1997-06-13
34,5206,1242,128544,24,5356,,1997-09-07
35,5207,1244,35904,48,748,,1997-02-28
36,5210,1252,148140,36,4115,,1997-04-01
37,5214,1270,74772,36,2077,,1997-07-01
38,5221,1284,52512,12,4376,,1998-12-05
39,5226,1318,185544,36,5154,,1998-10-11
40,5229,1329,23520,12,1960,,1997-09-06
41,5236,1374,389136,48,8107,,1997-09-15
42,5241,1389,125472,24,5228,,1998-09-02
43,5245,1407,125472,24,5228,,1998-01-17
44,5253,1447,100080,48,2085,,1997-06-03
45,5260,1480,123300,36,3425,,1998-01-19
46,5265,1498,165780,60,2763,,1998-10-07
47,5270,1528,191088,48,3981,,1997-07-21
48,5281,1580,194256,24,8094,,1997-11-27
49,5287,1638,64224,24,2676,,1998-01-26
50,5293,1656,189792,48,3954,,1998-10-29
51,5304,1718,172272,24,7178,,1998-08-20
52,5313,1776,43200,24,1800,,1998-05-27
53,5318,1808,385584,48,8033,,1998-09-30
54,5320,1819,143676,36,3991,,1998-01-11
55,5332,1869,37944,36,1054,,1998-01-29
56,5334,1876,209040,24,8710,,1998-09-10
57,5338,1888,57360,12,4780,,1997-08-30
58,5343,1906,44952,24,1873,,1997-10-08
59,5346,1928,55632,24,2318,,1998-12-06
60,5354,2000,290820,60,4847,,1998-07-14
61,5358,2018,38520,12,3210,,1997-01-21
62,5360,2035,176328,36,4898,,1998-01-25
63,5363,2051,293880,60,4898,,1997-04-22
64,5365,2055,271260,60,4521,,1998-07-19
65,5367,2064,83628,36,2323,,1997-08-26
66,5368,2073,44640,24,1860,,1998-10-05
67,5369,2080,214596,36,5961,,1997-09-12
68,5377,2116,92400,12,7700,,1997-08-04
69,5382,2134,22932,36,637,,1997-03-17
70,5384,2142,23328,12,1944,,1998-03-07
71,5389,2165,78600,24,3275,,1997-08-22
72,5398,2187,53472,12,4456,,1997-11-04
73,5419,2246,415800,60,6930,,1997-02-05
74,5420,2247,72504,24,3021,,1997-02-24
75,5428,2262,230220,36,6395,,1998-12-02
76,5435,2279,314688,48,6556,,1998-06-01
77,5446,2334,48312,24,2013,,1997-08-04
78,5447,2335,541200,60,9020,,1997-11-12
79,5451,2350,159744,48,3328,,1997-05-11
80,5463,2413,17952,12,1496,,1998-10-06
81,5469,2445,293160,60,4886,,1997-12-26
82,5486,2516,466608,48,9721,,1997-06-13
83,5491,2545,428784,48,8933,,1998-02-13
84,5501,2622,136344,24,5681,,1998-05-21
85,5520,2699,231168,48,4816,,1998-08-30
86,5525,2720,93888,36,2608,,1998-04-27
87,5526,2725,69624,36,1934,,1998-11-08
88,5527,2728,156420,60,2607,,1998-06-15
89,5531,2753,66432,24,2768,,1997-09-30
90,5532,2754,335280,48,6985,,1997-05-04
91,5556,2872,268320,60,4472,,1997-05-19
92,5561,2910,437460,60,7291,,1998-08-29
93,5569,2936,504000,60,8400,,1998-01-20
94,5582,2982,41256,12,3438,,1998-04-17
95,5584,2986,24792,24,1033,,1997-12-06
96,5585,2988,88608,12,7384,,1998-07-08
97,5589,3005,390000,48,8125,,1998-06-05
98,5614,3137,253560,60,4226,,1998-09-21
99,5616,3143,130896,24,5454,,1998-05-15
100,5620,3161,30012,12,2501,,1998-06-16
101,5634,3229,39024,12,3252,,1997-05-01
102,5638,3249,68124,12,5677,,1997-08-27
103,5643,3273,94512,12,7876,,1997-09-21
104,5644,3293,276084,36,7669,,1998-11-27
105,5651,3329,19248,12,1604,,1997-12-08
106,5656,3353,146064,24,6086,,1997-02-09
107,5665,3390,40632,12,3386,,1998-03-11
108,5669,3403,71820,36,1995,,1998-06-27
109,5674,3418,207264,48,4318,,1997-06-10
110,5681,3448,68664,24,2861,,1997-10-20
111,5682,3455,67464,12,5622,,1997-03-07
112,5683,3460,140688,48,2931,,1998-05-29
113,5698,3556,174840,60,2914,,1998-09-22
114,5699,3562,174960,24,7290,,1998-05-24
115,5718,3637,14028,12,1169,,1997-09-01
116,5719,3664,271584,48,5658,,1997-09-20
117,5731,3711,460980,60,7683,,1997-11-05
118,5758,3859,307200,60,5120,,1997-05-02
119,5760,3862,74916,36,2081,,1998-09-18
120,5765,3875,153936,24,6414,,1998-02-10
121,5772,3906,334620,60,5577,,1998-03-08
122,5773,3907,133848,24,5577,,1998-03-16
123,5774,3916,96984,36,2694,,1998-07-12
124,5779,3942,107352,36,2982,,1997-10-14
125,5782,3953,63576,12,5298,,1998-01-04
126,5784,3967,84600,36,2350,,1997-03-29
127,5790,4033,84288,48,1756,,1997-03-20
128,5799,4052,106128,36,2948,,1997-12-28
129,5808,4099,41856,48,872,,1997-07-31
130,5815,4116,151200,36,4200,,1998-06-03
131,5817,4127,100800,24,4200,,1997-08-15
132,5823,4144,212976,36,5916,,1998-06-21
133,5830,4190,405780,60,6763,,1997-08-28
134,5841,4268,41988,12,3499,,1998-11-04
135,5850,4293,164196,36,4561,,1997-05-22
136,5856,4320,51360,12,4280,,1997-08-09
137,5862,4342,100128,24,4172,,1997-12-09
138,5865,4354,327660,60,5461,,1998-10-30
139,5868,4361,90156,12,7513,,1997-03-29
140,5878,4415,74040,12,6170,,1997-04-01
141,5889,4456,321240,60,5354,,1998-02-09
142,5893,4467,86184,36,2394,,1998-08-03
143,5895,4473,93960,60,1566,,1997-01-03
144,5906,4533,81144,36,2254,,1998-05-05
145,5909,4550,61320,60,1022,,1998-01-03
146,5930,4616,66696,24,2779,,1998-01-12
147,5931,4618,66696,24,2779,,1997-03-17
148,5932,4626,33348,12,2779,,1997-06-18
149,5933,4631,87528,24,3647,,1997-12-13
150,5940,4660,106944,24,4456,,1997-05-28
151,5942,4681,162624,48,3388,,1997-03-15
152,5953,4715,97176,24,4049,,1997-03-14
153,5956,4725,168264,36,4674,,1997-11-04
154,5963,4746,204780,60,3413,,1997-09-07
155,5973,4784,219456,48,4572,,1997-11-24
156,5976,4794,465504,48,9698,,1997-12-27
157,5977,4803,59136,48,1232,,1997-02-25
158,5991,4858,335184,48,6983,,1998-07-27
159,5992,4863,76080,12,6340,,1997-03-18
160,6007,4949,289920,48,6040,,1997-08-30
161,6010,4969,150180,60,2503,,1997-03-06
162,6014,4999,165168,36,4588,,1997-05-18
163,6028,5072,317520,60,5292,,1997-02-09
164,6037,5118,53232,48,1109,,1997-05-04
165,6044,5133,57060,12,4755,,1998-01-27
166,6052,5164,22356,36,621,,1998-03-23
167,6054,5180,58764,12,4897,,1998-07-16
168,6055,5181,399120,60,6652,,1997-04-28
169,6059,5196,79824,12,6652,,1997-12-28
170,6075,5267,129312,24,5388,,1997-11-26
171,6076,5269,117420,60,1957,,1997-02-02
172,6078,5283,170832,48,3559,,1998-09-09
173,6083,5305,240528,48,5011,,1998-03-31
174,6088,5317,90180,36,2505,,1997-03-07
175,6095,5358,68340,60,1139,,1997-01-24
176,6097,5362,202848,48,4226,,1997-08-21
177,6104,5395,158184,36,4394,,1997-09-05
178,6113,5445,78696,36,2186,,1997-10-01
179,6118,5477,349392,48,7279,,1997-10-04
180,6136,5572,140880,60,2348,,1998-04-19
181,6142,5591,221880,60,3698,,1997-01-21
182,6147,5602,177504,48,3698,,1997-12-28
183,6168,5698,99216,36,2756,,1998-11-21
184,6173,5724,232560,48,4845,,1997-01-08
185,6196,5837,177804,36,4939,,1997-09-14
186,6207,5912,184620,60,3077,,1998-06-23
187,6215,5944,78720,48,1640,,1998-06-18
188,6234,6061,5148,12,429,,1998-05-28
189,6235,6062,321360,60,5356,,1998-04-19
190,6237,6075,407952,48,8499,,1998-01-06
191,6239,6083,360864,48,7518,,1997-09-28
192,6242,6097,26208,36,728,,1997-10-22
193,6249,6138,67608,24,2817,,1997-07-30
194,6254,6157,247920,48,5165,,1997-12-28
195,6255,6158,247920,48,5165,,1997-02-08
196,6278,6265,87360,24,3640,,1997-06-10
197,6310,6440,34572,12,2881,,1997-06-17
198,6312,6453,10944,36,304,,1998-05-17
199,6313,6461,150912,36,4192,,1997-06-15
200,6320,6495,104964,12,8747,,1998-04-28
201,6321,6505,38496,12,3208,,1998-10-08
202,6322,6510,76992,24,3208,,1997-05-06
203,6338,6592,390660,60,6511,,1997-08-24
204,6346,6649,100260,60,1671,,1997-05-22
205,6350,6678,294384,48,6133,,1997-07-09
206,6353,6686,116496,24,4854,,1997-12-25
207,6355,6699,127200,48,2650,,1997-09-24
208,6357,6706,64860,60,1081,,1998-07-12
209,6377,6792,17184,12,1432,,1997-03-17
210,6386,6856,124344,36,3454,,1997-04-30
211,6399,6902,49320,36,1370,,1997-12-21
212,6402,6922,139488,24,5812,,1998-12-06
213,6415,6950,475680,48,9910,,1997-02-12
214,6435,7045,288720,48,6015,,1997-06-16
215,6436,7049,495180,60,8253,,1998-05-22
216,6437,7052,63972,36,1777,,1997-11-09
217,6442,7082,194160,48,4045,,1998-02-08
218,6450,7099,234336,48,4882,,1998-06-10
219,6464,7156,49488,24,2062,,1998-04-16
220,6468,7176,203940,60,3399,,1997-11-30
221,6469,7180,99744,24,4156,,1998-11-17
222,6470,7181,49872,12,4156,,1998-05-17
223,6486,7240,152160,60,2536,,1998-01-15
224,6490,7262,73260,60,1221,,1997-02-10
225,6495,7274,49044,12,4087,,1998-03-12
226,6502,7424,30276,12,2523,,1997-12-08
227,6508,7437,110736,48,2307,,1998-04-19
228,6534,7542,590820,60,9847,,1997-10-19
229,6539,7559,12792,12,1066,,1998-07-11
230,6541,7565,153504,48,3198,,1997-08-17
231,6544,7594,130464,48,2718,,1997-12-11
232,6552,7632,170448,48,3551,,1998-01-08
233,6553,7636,42384,12,3532,,1998-01-26
234,6554,7637,390096,48,8127,,1997-01-29
235,6562,7674,94488,24,3937,,1997-03-21
236,6568,7713,220440,60,3674,,1998-02-25
237,6569,7721,45456,12,3788,,1998-05-28
238,6571,7733,140064,24,5836,,1998-05-12
239,6574,7745,77544,36,2154,,1997-12-20
240,6605,7890,79344,48,1653,,1997-10-14
241,6607,7894,153144,36,4254,,1997-10-21
242,6612,7907,97392,12,8116,,1997-08-31
243,6621,7957,42900,12,3575,,1997-06-14
244,6625,7966,473280,60,7888,,1997-09-07
245,6632,7990,144960,48,3020,,1998-04-23
246,6633,7997,160656,24,6694,,1998-02-05
247,6641,8026,128268,36,3563,,1997-09-09
248,6643,8038,35856,24,1494,,1998-01-18
249,6655,8085,260400,60,4340,,1997-10-17
250,6660,8094,220428,36,6123,,1997-05-09
251,6665,8114,99300,60,1655,,1997-08-15
252,6675,8158,238716,36,6631,,1997-11-01
253,6677,8169,97980,60,1633,,1997-08-12
254,6682,8225,36204,12,3017,,1998-03-30
255,6688,8268,8616,24,359,,1997-09-26
256,6695,8320,309660,60,5161,,1997-06-04
257,6705,8381,333648,48,6951,,1997-07-25
258,6727,8505,42840,12,3570,,1997-12-10
259,6730,8523,93036,12,7753,,1998-02-15
260,6746,8639,185640,60,3094,,1998-06-06
261,6748,8645,240900,60,4015,,1998-12-08
262,6753,8688,67980,12,5665,,1997-03-20
263,6755,8713,170700,60,2845,,1998-07-24
264,6758,8742,33144,12,2762,,1997-07-29
265,6763,8772,88272,48,1839,,1997-06-19
266,6766,8784,74352,24,3098,,1998-04-28
267,6790,8919,76104,24,3171,,1998-06-08
268,6791,8926,566640,60,9444,,1998-01-23
269,6793,8931,186300,60,3105,,1997-01-30
270,6819,9031,50112,24,2088,,1997-05-03
271,6821,9037,321936,48,6707,,1998-09-15
272,6824,9052,71976,24,2999,,1997-02-26
273,6851,9138,272220,60,4537,,1997-06-03
274,6852,9140,16032,48,334,,1998-11-10
275,6855,9153,52236,36,1451,,1998-03-01
276,6856,9156,163332,36,4537,,1998-12-01
277,6857,9159,69600,48,1450,,1998-06-08
278,6859,9167,272220,60,4537,,1998-03-07
